[prune25] evaluating gpqa
dataset=gpqa model=/mnt/docker_data/v4-converted/v4-prune25-keep192 total=249 resumed=0 pending=249 workers=1 run=18da8ccfe678c687
question=19/249 repeat=1/1 correct=yes latency=2.20s completion_tokens=231 token_ps=105.20 progress=19/249 failures=0
question=20/249 repeat=1/1 correct=yes latency=9.40s completion_tokens=1058 token_ps=112.50 progress=20/249 failures=0
question=21/249 repeat=1/1 correct=yes latency=5.52s completion_tokens=613 token_ps=111.00 progress=21/249 failures=0
question=22/249 repeat=1/1 correct=yes latency=22.00s completion_tokens=2495 token_ps=113.39 progress=22/249 failures=0
question=23/249 repeat=1/1 correct=no latency=230.58s completion_tokens=26120 token_ps=113.28 progress=23/249 failures=0
question=24/249 repeat=1/1 correct=yes latency=6.11s completion_tokens=678 token_ps=111.03 progress=24/249 failures=0
question=25/249 repeat=1/1 correct=no latency=7.94s completion_tokens=888 token_ps=111.90 progress=25/249 failures=0
question=26/249 repeat=1/1 correct=no latency=102.20s completion_tokens=11597 token_ps=113.47 progress=26/249 failures=0
question=27/249 repeat=1/1 correct=yes latency=98.92s completion_tokens=11228 token_ps=113.50 progress=27/249 failures=0
question=28/249 repeat=1/1 correct=yes latency=111.49s completion_tokens=12644 token_ps=113.41 progress=28/249 failures=0
question=29/249 repeat=1/1 correct=no latency=27.73s completion_tokens=3143 token_ps=113.36 progress=29/249 failures=0
question=30/249 repeat=1/1 correct=no latency=289.44s completion_tokens=32768 token_ps=113.21 progress=30/249 failures=0
question=31/249 repeat=1/1 correct=yes latency=19.26s completion_tokens=2182 token_ps=113.29 progress=31/249 failures=0
question=32/249 repeat=1/1 correct=yes latency=77.03s completion_tokens=8585 token_ps=111.45 progress=32/249 failures=0
question=33/249 repeat=1/1 correct=yes latency=73.08s completion_tokens=8293 token_ps=113.48 progress=33/249 failures=0
question=34/249 repeat=1/1 correct=no latency=86.32s completion_tokens=9789 token_ps=113.40 progress=34/249 failures=0
question=35/249 repeat=1/1 correct=no latency=12.63s completion_tokens=1428 token_ps=113.07 progress=35/249 failures=0
question=36/249 repeat=1/1 correct=no latency=21.34s completion_tokens=2404 token_ps=112.68 progress=36/249 failures=0
question=37/249 repeat=1/1 correct=yes latency=100.73s completion_tokens=11430 token_ps=113.47 progress=37/249 failures=0
question=38/249 repeat=1/1 correct=yes latency=108.71s completion_tokens=12304 token_ps=113.18 progress=38/249 failures=0
question=39/249 repeat=1/1 correct=no latency=274.24s completion_tokens=30914 token_ps=112.73 progress=39/249 failures=0
question=40/249 repeat=1/1 correct=no latency=144.56s completion_tokens=16387 token_ps=113.36 progress=40/249 failures=0
question=41/249 repeat=1/1 correct=yes latency=5.23s completion_tokens=579 token_ps=110.69 progress=41/249 failures=0
question=42/249 repeat=1/1 correct=no latency=66.69s completion_tokens=7539 token_ps=113.05 progress=42/249 failures=0
question=43/249 repeat=1/1 correct=yes latency=7.34s completion_tokens=820 token_ps=111.69 progress=43/249 failures=0
question=44/249 repeat=1/1 correct=yes latency=71.23s completion_tokens=8077 token_ps=113.39 progress=44/249 failures=0
question=45/249 repeat=1/1 correct=yes latency=194.07s completion_tokens=21787 token_ps=112.27 progress=45/249 failures=0
question=46/249 repeat=1/1 correct=no latency=296.25s completion_tokens=32768 token_ps=110.61 progress=46/249 failures=0
question=47/249 repeat=1/1 correct=no latency=30.75s completion_tokens=3488 token_ps=113.43 progress=47/249 failures=0
question=48/249 repeat=1/1 correct=yes latency=79.31s completion_tokens=8530 token_ps=107.55 progress=48/249 failures=0
question=49/249 repeat=1/1 correct=no latency=62.07s completion_tokens=7045 token_ps=113.50 progress=49/249 failures=0
question=50/249 repeat=1/1 correct=no latency=289.35s completion_tokens=32768 token_ps=113.25 progress=50/249 failures=0
question=51/249 repeat=1/1 correct=yes latency=17.53s completion_tokens=1986 token_ps=113.27 progress=51/249 failures=0
question=52/249 repeat=1/1 correct=yes latency=43.71s completion_tokens=4960 token_ps=113.47 progress=52/249 failures=0
question=53/249 repeat=1/1 correct=yes latency=22.56s completion_tokens=2558 token_ps=113.41 progress=53/249 failures=0
question=54/249 repeat=1/1 correct=yes latency=261.99s completion_tokens=29655 token_ps=113.19 progress=54/249 failures=0
question=55/249 repeat=1/1 correct=yes latency=97.58s completion_tokens=11061 token_ps=113.36 progress=55/249 failures=0
question=56/249 repeat=1/1 correct=yes latency=20.57s completion_tokens=2331 token_ps=113.32 progress=56/249 failures=0
question=57/249 repeat=1/1 correct=yes latency=35.82s completion_tokens=4061 token_ps=113.36 progress=57/249 failures=0
question=58/249 repeat=1/1 correct=yes latency=48.90s completion_tokens=5545 token_ps=113.39 progress=58/249 failures=0
question=59/249 repeat=1/1 correct=no latency=19.15s completion_tokens=2172 token_ps=113.44 progress=59/249 failures=0
question=60/249 repeat=1/1 correct=yes latency=39.72s completion_tokens=4507 token_ps=113.48 progress=60/249 failures=0
question=61/249 repeat=1/1 correct=yes latency=13.23s completion_tokens=1496 token_ps=113.07 progress=61/249 failures=0
question=62/249 repeat=1/1 correct=no latency=36.45s completion_tokens=4133 token_ps=113.39 progress=62/249 failures=0
question=63/249 repeat=1/1 correct=yes latency=12.17s completion_tokens=1374 token_ps=112.92 progress=63/249 failures=0
question=64/249 repeat=1/1 correct=no latency=36.62s completion_tokens=4152 token_ps=113.39 progress=64/249 failures=0
question=65/249 repeat=1/1 correct=no latency=104.17s completion_tokens=11815 token_ps=113.42 progress=65/249 failures=0
question=66/249 repeat=1/1 correct=no latency=9.14s completion_tokens=1029 token_ps=112.54 progress=66/249 failures=0
question=67/249 repeat=1/1 correct=no latency=289.69s completion_tokens=32768 token_ps=113.12 progress=67/249 failures=0
question=68/249 repeat=1/1 correct=yes latency=76.82s completion_tokens=8714 token_ps=113.43 progress=68/249 failures=0
question=69/249 repeat=1/1 correct=yes latency=7.68s completion_tokens=861 token_ps=112.12 progress=69/249 failures=0
question=70/249 repeat=1/1 correct=no latency=267.73s completion_tokens=30269 token_ps=113.06 progress=70/249 failures=0
question=71/249 repeat=1/1 correct=yes latency=17.16s completion_tokens=1942 token_ps=113.18 progress=71/249 failures=0
question=72/249 repeat=1/1 correct=yes latency=5.02s completion_tokens=557 token_ps=110.88 progress=72/249 failures=0
question=73/249 repeat=1/1 correct=yes latency=102.03s completion_tokens=11573 token_ps=113.43 progress=73/249 failures=0
question=74/249 repeat=1/1 correct=no latency=15.33s completion_tokens=1729 token_ps=112.78 progress=74/249 failures=0
question=75/249 repeat=1/1 correct=no latency=269.54s completion_tokens=30515 token_ps=113.21 progress=75/249 failures=0
question=76/249 repeat=1/1 correct=no latency=116.66s completion_tokens=13224 token_ps=113.35 progress=76/249 failures=0
question=77/249 repeat=1/1 correct=yes latency=72.57s completion_tokens=8230 token_ps=113.40 progress=77/249 failures=0
question=78/249 repeat=1/1 correct=no latency=290.09s completion_tokens=32768 token_ps=112.96 progress=78/249 failures=0
question=79/249 repeat=1/1 correct=no latency=33.80s completion_tokens=3829 token_ps=113.27 progress=79/249 failures=0
question=80/249 repeat=1/1 correct=no latency=10.84s completion_tokens=1206 token_ps=111.28 progress=80/249 failures=0
question=81/249 repeat=1/1 correct=yes latency=6.22s completion_tokens=690 token_ps=110.95 progress=81/249 failures=0
question=82/249 repeat=1/1 correct=no latency=6.83s completion_tokens=760 token_ps=111.21 progress=82/249 failures=0
question=83/249 repeat=1/1 correct=yes latency=22.20s completion_tokens=2481 token_ps=111.78 progress=83/249 failures=0
question=84/249 repeat=1/1 correct=no latency=290.73s completion_tokens=32768 token_ps=112.71 progress=84/249 failures=0
question=85/249 repeat=1/1 correct=no latency=9.53s completion_tokens=1071 token_ps=112.39 progress=85/249 failures=0
question=86/249 repeat=1/1 correct=yes latency=8.42s completion_tokens=945 token_ps=112.17 progress=86/249 failures=0
question=87/249 repeat=1/1 correct=no latency=36.95s completion_tokens=4187 token_ps=113.31 progress=87/249 failures=0
question=88/249 repeat=1/1 correct=yes latency=56.97s completion_tokens=6381 token_ps=112.00 progress=88/249 failures=0
question=89/249 repeat=1/1 correct=no latency=166.93s completion_tokens=18764 token_ps=112.41 progress=89/249 failures=0
question=90/249 repeat=1/1 correct=no latency=9.10s completion_tokens=1024 token_ps=112.47 progress=90/249 failures=0
question=91/249 repeat=1/1 correct=yes latency=12.89s completion_tokens=1400 token_ps=108.59 progress=91/249 failures=0
question=92/249 repeat=1/1 correct=yes latency=12.95s completion_tokens=1463 token_ps=112.99 progress=92/249 failures=0
question=93/249 repeat=1/1 correct=yes latency=231.96s completion_tokens=26078 token_ps=112.42 progress=93/249 failures=0
question=94/249 repeat=1/1 correct=no latency=85.46s completion_tokens=9694 token_ps=113.43 progress=94/249 failures=0
question=95/249 repeat=1/1 correct=no latency=36.09s completion_tokens=4078 token_ps=112.98 progress=95/249 failures=0
question=96/249 repeat=1/1 correct=no latency=289.98s completion_tokens=32768 token_ps=113.00 progress=96/249 failures=0
question=97/249 repeat=1/1 correct=no latency=100.51s completion_tokens=11398 token_ps=113.40 progress=97/249 failures=0
question=98/249 repeat=1/1 correct=yes latency=5.51s completion_tokens=609 token_ps=110.58 progress=98/249 failures=0
question=99/249 repeat=1/1 correct=yes latency=4.48s completion_tokens=482 token_ps=107.54 progress=99/249 failures=0
question=100/249 repeat=1/1 correct=yes latency=8.95s completion_tokens=1005 token_ps=112.26 progress=100/249 failures=0
question=101/249 repeat=1/1 correct=no latency=235.38s completion_tokens=26413 token_ps=112.21 progress=101/249 failures=0
question=102/249 repeat=1/1 correct=no latency=289.67s completion_tokens=32768 token_ps=113.12 progress=102/249 failures=0
question=103/249 repeat=1/1 correct=yes latency=267.45s completion_tokens=30273 token_ps=113.19 progress=103/249 failures=0
question=104/249 repeat=1/1 correct=yes latency=44.36s completion_tokens=5033 token_ps=113.47 progress=104/249 failures=0
question=105/249 repeat=1/1 correct=no latency=291.17s completion_tokens=32768 token_ps=112.54 progress=105/249 failures=0
question=106/249 repeat=1/1 correct=yes latency=33.42s completion_tokens=3790 token_ps=113.41 progress=106/249 failures=0
question=107/249 repeat=1/1 correct=no latency=183.71s completion_tokens=20554 token_ps=111.88 progress=107/249 failures=0
question=108/249 repeat=1/1 correct=yes latency=99.58s completion_tokens=11182 token_ps=112.29 progress=108/249 failures=0
question=109/249 repeat=1/1 correct=yes latency=39.22s completion_tokens=4445 token_ps=113.33 progress=109/249 failures=0
question=110/249 repeat=1/1 correct=yes latency=11.90s completion_tokens=1341 token_ps=112.72 progress=110/249 failures=0
question=111/249 repeat=1/1 correct=no latency=114.70s completion_tokens=13012 token_ps=113.44 progress=111/249 failures=0
question=112/249 repeat=1/1 correct=no latency=58.09s completion_tokens=6587 token_ps=113.39 progress=112/249 failures=0
question=113/249 repeat=1/1 correct=yes latency=26.09s completion_tokens=2958 token_ps=113.38 progress=113/249 failures=0
question=114/249 repeat=1/1 correct=yes latency=8.31s completion_tokens=930 token_ps=111.98 progress=114/249 failures=0
question=115/249 repeat=1/1 correct=yes latency=37.71s completion_tokens=4275 token_ps=113.38 progress=115/249 failures=0
question=116/249 repeat=1/1 correct=yes latency=82.52s completion_tokens=9334 token_ps=113.11 progress=116/249 failures=0
question=117/249 repeat=1/1 correct=no latency=34.60s completion_tokens=3922 token_ps=113.34 progress=117/249 failures=0
question=118/249 repeat=1/1 correct=yes latency=18.45s completion_tokens=2088 token_ps=113.17 progress=118/249 failures=0
question=119/249 repeat=1/1 correct=yes latency=16.89s completion_tokens=1913 token_ps=113.29 progress=119/249 failures=0
question=120/249 repeat=1/1 correct=yes latency=38.06s completion_tokens=4316 token_ps=113.39 progress=120/249 failures=0
question=121/249 repeat=1/1 correct=yes latency=79.48s completion_tokens=8959 token_ps=112.72 progress=121/249 failures=0
question=122/249 repeat=1/1 correct=no latency=60.95s completion_tokens=6919 token_ps=113.52 progress=122/249 failures=0
question=123/249 repeat=1/1 correct=yes latency=45.91s completion_tokens=5211 token_ps=113.51 progress=123/249 failures=0
question=124/249 repeat=1/1 correct=yes latency=2.83s completion_tokens=306 token_ps=108.18 progress=124/249 failures=0
question=125/249 repeat=1/1 correct=yes latency=5.56s completion_tokens=619 token_ps=111.27 progress=125/249 failures=0
question=126/249 repeat=1/1 correct=yes latency=84.07s completion_tokens=9542 token_ps=113.50 progress=126/249 failures=0
question=127/249 repeat=1/1 correct=yes latency=17.01s completion_tokens=1928 token_ps=113.35 progress=127/249 failures=0
question=128/249 repeat=1/1 correct=yes latency=124.19s completion_tokens=14086 token_ps=113.43 progress=128/249 failures=0
question=129/249 repeat=1/1 correct=yes latency=7.53s completion_tokens=844 token_ps=112.09 progress=129/249 failures=0
question=130/249 repeat=1/1 correct=no latency=34.37s completion_tokens=3899 token_ps=113.44 progress=130/249 failures=0
question=131/249 repeat=1/1 correct=no latency=102.55s completion_tokens=11633 token_ps=113.44 progress=131/249 failures=0
question=132/249 repeat=1/1 correct=no latency=23.20s completion_tokens=2632 token_ps=113.45 progress=132/249 failures=0
question=133/249 repeat=1/1 correct=no latency=139.64s completion_tokens=15780 token_ps=113.00 progress=133/249 failures=0
question=134/249 repeat=1/1 correct=yes latency=142.13s completion_tokens=16109 token_ps=113.34 progress=134/249 failures=0
question=135/249 repeat=1/1 correct=yes latency=228.96s completion_tokens=25927 token_ps=113.24 progress=135/249 failures=0
question=136/249 repeat=1/1 correct=yes latency=15.31s completion_tokens=1733 token_ps=113.23 progress=136/249 failures=0
question=137/249 repeat=1/1 correct=yes latency=43.47s completion_tokens=4896 token_ps=112.62 progress=137/249 failures=0
question=138/249 repeat=1/1 correct=yes latency=73.56s completion_tokens=8286 token_ps=112.65 progress=138/249 failures=0
question=139/249 repeat=1/1 correct=yes latency=6.79s completion_tokens=759 token_ps=111.82 progress=139/249 failures=0
question=140/249 repeat=1/1 correct=yes latency=58.34s completion_tokens=6619 token_ps=113.45 progress=140/249 failures=0
question=141/249 repeat=1/1 correct=yes latency=12.61s completion_tokens=1425 token_ps=113.01 progress=141/249 failures=0
question=142/249 repeat=1/1 correct=no latency=290.30s completion_tokens=32768 token_ps=112.88 progress=142/249 failures=0
question=143/249 repeat=1/1 correct=no latency=44.67s completion_tokens=5065 token_ps=113.38 progress=143/249 failures=0
question=144/249 repeat=1/1 correct=no latency=289.30s completion_tokens=32768 token_ps=113.27 progress=144/249 failures=0
question=145/249 repeat=1/1 correct=yes latency=45.18s completion_tokens=5125 token_ps=113.42 progress=145/249 failures=0
question=146/249 repeat=1/1 correct=yes latency=4.74s completion_tokens=517 token_ps=109.13 progress=146/249 failures=0
question=147/249 repeat=1/1 correct=no latency=289.69s completion_tokens=32768 token_ps=113.11 progress=147/249 failures=0
question=148/249 repeat=1/1 correct=yes latency=8.14s completion_tokens=911 token_ps=111.98 progress=148/249 failures=0
question=149/249 repeat=1/1 correct=no latency=2.16s completion_tokens=228 token_ps=105.78 progress=149/249 failures=0
question=150/249 repeat=1/1 correct=yes latency=80.26s completion_tokens=9082 token_ps=113.15 progress=150/249 failures=0
question=151/249 repeat=1/1 correct=yes latency=5.24s completion_tokens=582 token_ps=110.99 progress=151/249 failures=0
question=152/249 repeat=1/1 correct=yes latency=242.44s completion_tokens=27453 token_ps=113.23 progress=152/249 failures=0
question=153/249 repeat=1/1 correct=yes latency=51.57s completion_tokens=5849 token_ps=113.43 progress=153/249 failures=0
question=154/249 repeat=1/1 correct=yes latency=40.84s completion_tokens=4628 token_ps=113.32 progress=154/249 failures=0
question=155/249 repeat=1/1 correct=yes latency=63.16s completion_tokens=7166 token_ps=113.46 progress=155/249 failures=0
question=156/249 repeat=1/1 correct=yes latency=264.35s completion_tokens=29936 token_ps=113.24 progress=156/249 failures=0
question=157/249 repeat=1/1 correct=yes latency=62.24s completion_tokens=7065 token_ps=113.51 progress=157/249 failures=0
question=158/249 repeat=1/1 correct=yes latency=275.97s completion_tokens=31255 token_ps=113.25 progress=158/249 failures=0
question=159/249 repeat=1/1 correct=no latency=30.28s completion_tokens=3433 token_ps=113.39 progress=159/249 failures=0
question=160/249 repeat=1/1 correct=no latency=131.14s completion_tokens=14849 token_ps=113.23 progress=160/249 failures=0
question=161/249 repeat=1/1 correct=yes latency=21.93s completion_tokens=2486 token_ps=113.38 progress=161/249 failures=0
question=162/249 repeat=1/1 correct=no latency=290.11s completion_tokens=32768 token_ps=112.95 progress=162/249 failures=0
question=163/249 repeat=1/1 correct=no latency=289.56s completion_tokens=32768 token_ps=113.17 progress=163/249 failures=0
question=164/249 repeat=1/1 correct=no latency=11.49s completion_tokens=1293 token_ps=112.58 progress=164/249 failures=0
question=165/249 repeat=1/1 correct=yes latency=12.62s completion_tokens=1426 token_ps=113.04 progress=165/249 failures=0
question=166/249 repeat=1/1 correct=yes latency=10.53s completion_tokens=1187 token_ps=112.71 progress=166/249 failures=0
question=167/249 repeat=1/1 correct=no latency=250.23s completion_tokens=28332 token_ps=113.22 progress=167/249 failures=0
question=168/249 repeat=1/1 correct=no latency=111.99s completion_tokens=12612 token_ps=112.62 progress=168/249 failures=0
question=169/249 repeat=1/1 correct=yes latency=87.99s completion_tokens=9926 token_ps=112.81 progress=169/249 failures=0
question=170/249 repeat=1/1 correct=yes latency=30.04s completion_tokens=3403 token_ps=113.28 progress=170/249 failures=0
question=171/249 repeat=1/1 correct=no latency=139.46s completion_tokens=15803 token_ps=113.32 progress=171/249 failures=0
question=172/249 repeat=1/1 correct=yes latency=6.98s completion_tokens=778 token_ps=111.41 progress=172/249 failures=0
question=173/249 repeat=1/1 correct=no latency=65.77s completion_tokens=7466 token_ps=113.51 progress=173/249 failures=0
question=174/249 repeat=1/1 correct=yes latency=12.32s completion_tokens=1392 token_ps=113.01 progress=174/249 failures=0
question=175/249 repeat=1/1 correct=no latency=132.19s completion_tokens=14976 token_ps=113.29 progress=175/249 failures=0
question=176/249 repeat=1/1 correct=yes latency=122.91s completion_tokens=13931 token_ps=113.34 progress=176/249 failures=0
question=177/249 repeat=1/1 correct=yes latency=2.13s completion_tokens=224 token_ps=105.11 progress=177/249 failures=0
question=178/249 repeat=1/1 correct=no latency=15.10s completion_tokens=1710 token_ps=113.25 progress=178/249 failures=0
question=179/249 repeat=1/1 correct=no latency=214.60s completion_tokens=24306 token_ps=113.26 progress=179/249 failures=0
question=180/249 repeat=1/1 correct=yes latency=70.49s completion_tokens=7996 token_ps=113.44 progress=180/249 failures=0
question=181/249 repeat=1/1 correct=yes latency=4.42s completion_tokens=488 token_ps=110.31 progress=181/249 failures=0
question=182/249 repeat=1/1 correct=no latency=290.61s completion_tokens=32768 token_ps=112.76 progress=182/249 failures=0
question=183/249 repeat=1/1 correct=yes latency=21.93s completion_tokens=2488 token_ps=113.43 progress=183/249 failures=0
question=184/249 repeat=1/1 correct=no latency=217.44s completion_tokens=24507 token_ps=112.71 progress=184/249 failures=0
question=185/249 repeat=1/1 correct=no latency=43.96s completion_tokens=4978 token_ps=113.24 progress=185/249 failures=0
question=186/249 repeat=1/1 correct=yes latency=54.72s completion_tokens=6206 token_ps=113.42 progress=186/249 failures=0
question=187/249 repeat=1/1 correct=yes latency=10.15s completion_tokens=1142 token_ps=112.56 progress=187/249 failures=0
question=188/249 repeat=1/1 correct=no latency=289.50s completion_tokens=32768 token_ps=113.19 progress=188/249 failures=0
question=189/249 repeat=1/1 correct=no latency=20.95s completion_tokens=2374 token_ps=113.31 progress=189/249 failures=0
question=190/249 repeat=1/1 correct=no latency=101.57s completion_tokens=11489 token_ps=113.11 progress=190/249 failures=0
question=191/249 repeat=1/1 correct=yes latency=66.40s completion_tokens=7533 token_ps=113.44 progress=191/249 failures=0
question=192/249 repeat=1/1 correct=yes latency=18.64s completion_tokens=2111 token_ps=113.23 progress=192/249 failures=0
question=193/249 repeat=1/1 correct=yes latency=70.42s completion_tokens=7992 token_ps=113.49 progress=193/249 failures=0
question=194/249 repeat=1/1 correct=no latency=4.19s completion_tokens=461 token_ps=110.12 progress=194/249 failures=0
question=195/249 repeat=1/1 correct=yes latency=4.20s completion_tokens=464 token_ps=110.38 progress=195/249 failures=0
question=196/249 repeat=1/1 correct=yes latency=151.52s completion_tokens=17177 token_ps=113.37 progress=196/249 failures=0
question=197/249 repeat=1/1 correct=yes latency=211.41s completion_tokens=23941 token_ps=113.24 progress=197/249 failures=0
question=198/249 repeat=1/1 correct=no latency=13.85s completion_tokens=1560 token_ps=112.61 progress=198/249 failures=0
question=199/249 repeat=1/1 correct=no latency=5.87s completion_tokens=649 token_ps=110.54 progress=199/249 failures=0
question=200/249 repeat=1/1 correct=yes latency=17.12s completion_tokens=1934 token_ps=112.98 progress=200/249 failures=0
question=201/249 repeat=1/1 correct=yes latency=22.98s completion_tokens=2604 token_ps=113.31 progress=201/249 failures=0
question=202/249 repeat=1/1 correct=yes latency=6.04s completion_tokens=670 token_ps=111.00 progress=202/249 failures=0
question=203/249 repeat=1/1 correct=no latency=236.44s completion_tokens=26744 token_ps=113.11 progress=203/249 failures=0
question=204/249 repeat=1/1 correct=yes latency=69.65s completion_tokens=7896 token_ps=113.36 progress=204/249 failures=0
question=205/249 repeat=1/1 correct=no latency=12.15s completion_tokens=1368 token_ps=112.63 progress=205/249 failures=0
question=206/249 repeat=1/1 correct=yes latency=7.26s completion_tokens=813 token_ps=112.02 progress=206/249 failures=0
question=207/249 repeat=1/1 correct=yes latency=26.81s completion_tokens=3038 token_ps=113.31 progress=207/249 failures=0
question=208/249 repeat=1/1 correct=yes latency=76.01s completion_tokens=8622 token_ps=113.43 progress=208/249 failures=0
question=209/249 repeat=1/1 correct=no latency=26.95s completion_tokens=3053 token_ps=113.27 progress=209/249 failures=0
question=210/249 repeat=1/1 correct=yes latency=74.37s completion_tokens=8438 token_ps=113.46 progress=210/249 failures=0
question=211/249 repeat=1/1 correct=yes latency=46.11s completion_tokens=5048 token_ps=109.47 progress=211/249 failures=0
question=212/249 repeat=1/1 correct=no latency=291.44s completion_tokens=32768 token_ps=112.43 progress=212/249 failures=0
question=213/249 repeat=1/1 correct=yes latency=17.62s completion_tokens=1995 token_ps=113.20 progress=213/249 failures=0
question=214/249 repeat=1/1 correct=yes latency=18.42s completion_tokens=2084 token_ps=113.12 progress=214/249 failures=0
question=215/249 repeat=1/1 correct=yes latency=49.10s completion_tokens=5569 token_ps=113.41 progress=215/249 failures=0
question=216/249 repeat=1/1 correct=yes latency=51.20s completion_tokens=5737 token_ps=112.05 progress=216/249 failures=0
question=217/249 repeat=1/1 correct=yes latency=20.19s completion_tokens=2283 token_ps=113.09 progress=217/249 failures=0
question=218/249 repeat=1/1 correct=yes latency=3.62s completion_tokens=392 token_ps=108.32 progress=218/249 failures=0
question=219/249 repeat=1/1 correct=no latency=205.84s completion_tokens=23268 token_ps=113.04 progress=219/249 failures=0
question=220/249 repeat=1/1 correct=yes latency=32.82s completion_tokens=3721 token_ps=113.36 progress=220/249 failures=0
question=221/249 repeat=1/1 correct=no latency=185.24s completion_tokens=20985 token_ps=113.29 progress=221/249 failures=0
question=222/249 repeat=1/1 correct=yes latency=28.98s completion_tokens=3287 token_ps=113.41 progress=222/249 failures=0
question=223/249 repeat=1/1 correct=yes latency=9.85s completion_tokens=1109 token_ps=112.60 progress=223/249 failures=0
question=224/249 repeat=1/1 correct=yes latency=34.52s completion_tokens=3914 token_ps=113.38 progress=224/249 failures=0
question=225/249 repeat=1/1 correct=no latency=103.16s completion_tokens=11697 token_ps=113.38 progress=225/249 failures=0
question=226/249 repeat=1/1 correct=yes latency=45.36s completion_tokens=5141 token_ps=113.34 progress=226/249 failures=0
question=227/249 repeat=1/1 correct=no latency=49.42s completion_tokens=5599 token_ps=113.30 progress=227/249 failures=0
question=228/249 repeat=1/1 correct=yes latency=53.11s completion_tokens=6026 token_ps=113.47 progress=228/249 failures=0
question=229/249 repeat=1/1 correct=yes latency=208.73s completion_tokens=23640 token_ps=113.26 progress=229/249 failures=0
question=230/249 repeat=1/1 correct=yes latency=32.57s completion_tokens=3691 token_ps=113.34 progress=230/249 failures=0
question=231/249 repeat=1/1 correct=yes latency=33.26s completion_tokens=3773 token_ps=113.43 progress=231/249 failures=0
question=232/249 repeat=1/1 correct=no latency=38.90s completion_tokens=4407 token_ps=113.30 progress=232/249 failures=0
question=233/249 repeat=1/1 correct=yes latency=33.73s completion_tokens=3828 token_ps=113.47 progress=233/249 failures=0
question=234/249 repeat=1/1 correct=yes latency=97.76s completion_tokens=11081 token_ps=113.35 progress=234/249 failures=0
question=235/249 repeat=1/1 correct=yes latency=110.04s completion_tokens=12477 token_ps=113.39 progress=235/249 failures=0
question=236/249 repeat=1/1 correct=yes latency=21.02s completion_tokens=2384 token_ps=113.40 progress=236/249 failures=0
question=237/249 repeat=1/1 correct=yes latency=5.71s completion_tokens=636 token_ps=111.39 progress=237/249 failures=0
question=238/249 repeat=1/1 correct=yes latency=23.79s completion_tokens=2700 token_ps=113.49 progress=238/249 failures=0
question=239/249 repeat=1/1 correct=yes latency=128.51s completion_tokens=14560 token_ps=113.30 progress=239/249 failures=0
question=240/249 repeat=1/1 correct=no latency=289.45s completion_tokens=32768 token_ps=113.21 progress=240/249 failures=0
question=241/249 repeat=1/1 correct=yes latency=26.96s completion_tokens=3058 token_ps=113.41 progress=241/249 failures=0
question=242/249 repeat=1/1 correct=no latency=289.32s completion_tokens=32768 token_ps=113.26 progress=242/249 failures=0
question=243/249 repeat=1/1 correct=yes latency=54.16s completion_tokens=6147 token_ps=113.50 progress=243/249 failures=0
question=244/249 repeat=1/1 correct=yes latency=45.92s completion_tokens=5212 token_ps=113.50 progress=244/249 failures=0
