[prune25] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/docker_data/v4-converted/v4-prune25-keep192 total=101 resumed=0 pending=101 workers=1 run=03753d0c533b797a
question=58/101 repeat=1/1 correct=yes latency=46.06s completion_tokens=5221 token_ps=113.35 progress=58/101 failures=0
question=59/101 repeat=1/1 correct=yes latency=12.73s completion_tokens=1433 token_ps=112.54 progress=59/101 failures=0
question=60/101 repeat=1/1 correct=yes latency=37.45s completion_tokens=4240 token_ps=113.21 progress=60/101 failures=0
question=61/101 repeat=1/1 correct=yes latency=39.71s completion_tokens=4500 token_ps=113.31 progress=61/101 failures=0
question=62/101 repeat=1/1 correct=yes latency=8.88s completion_tokens=992 token_ps=111.73 progress=62/101 failures=0
question=63/101 repeat=1/1 correct=no latency=144.70s completion_tokens=16404 token_ps=113.37 progress=63/101 failures=0
question=64/101 repeat=1/1 correct=yes latency=18.88s completion_tokens=2134 token_ps=113.05 progress=64/101 failures=0
question=65/101 repeat=1/1 correct=yes latency=260.14s completion_tokens=29454 token_ps=113.22 progress=65/101 failures=0
question=66/101 repeat=1/1 correct=no latency=7.52s completion_tokens=838 token_ps=111.47 progress=66/101 failures=0
question=67/101 repeat=1/1 correct=yes latency=39.34s completion_tokens=4441 token_ps=112.90 progress=67/101 failures=0
question=68/101 repeat=1/1 correct=yes latency=75.09s completion_tokens=8511 token_ps=113.34 progress=68/101 failures=0
question=69/101 repeat=1/1 correct=yes latency=38.18s completion_tokens=4325 token_ps=113.29 progress=69/101 failures=0
question=70/101 repeat=1/1 correct=yes latency=58.41s completion_tokens=6615 token_ps=113.25 progress=70/101 failures=0
question=71/101 repeat=1/1 correct=yes latency=14.41s completion_tokens=1625 token_ps=112.75 progress=71/101 failures=0
question=72/101 repeat=1/1 correct=yes latency=13.15s completion_tokens=1475 token_ps=112.15 progress=72/101 failures=0
question=73/101 repeat=1/1 correct=yes latency=2.20s completion_tokens=225 token_ps=102.27 progress=73/101 failures=0
question=74/101 repeat=1/1 correct=yes latency=22.39s completion_tokens=2531 token_ps=113.03 progress=74/101 failures=0
question=75/101 repeat=1/1 correct=yes latency=86.52s completion_tokens=9797 token_ps=113.23 progress=75/101 failures=0
question=76/101 repeat=1/1 correct=no latency=289.53s completion_tokens=32768 token_ps=113.18 progress=76/101 failures=0
question=77/101 repeat=1/1 correct=no latency=37.47s completion_tokens=4247 token_ps=113.34 progress=77/101 failures=0
question=78/101 repeat=1/1 correct=yes latency=149.23s completion_tokens=16891 token_ps=113.18 progress=78/101 failures=0
question=79/101 repeat=1/1 correct=yes latency=31.70s completion_tokens=3584 token_ps=113.05 progress=79/101 failures=0
question=80/101 repeat=1/1 correct=yes latency=106.84s completion_tokens=12114 token_ps=113.39 progress=80/101 failures=0
question=81/101 repeat=1/1 correct=yes latency=92.66s completion_tokens=10503 token_ps=113.35 progress=81/101 failures=0
question=82/101 repeat=1/1 correct=yes latency=7.62s completion_tokens=845 token_ps=110.83 progress=82/101 failures=0
question=83/101 repeat=1/1 correct=yes latency=2.88s completion_tokens=306 token_ps=106.16 progress=83/101 failures=0
question=84/101 repeat=1/1 correct=yes latency=153.17s completion_tokens=17360 token_ps=113.34 progress=84/101 failures=0
question=85/101 repeat=1/1 correct=yes latency=38.00s completion_tokens=4294 token_ps=113.01 progress=85/101 failures=0
question=86/101 repeat=1/1 correct=yes latency=41.36s completion_tokens=4685 token_ps=113.27 progress=86/101 failures=0
question=87/101 repeat=1/1 correct=yes latency=20.17s completion_tokens=2281 token_ps=113.08 progress=87/101 failures=0
question=88/101 repeat=1/1 correct=yes latency=13.24s completion_tokens=1489 token_ps=112.46 progress=88/101 failures=0
question=89/101 repeat=1/1 correct=yes latency=82.17s completion_tokens=9315 token_ps=113.36 progress=89/101 failures=0
question=90/101 repeat=1/1 correct=yes latency=3.99s completion_tokens=429 token_ps=107.44 progress=90/101 failures=0
question=91/101 repeat=1/1 correct=no latency=9.64s completion_tokens=1086 token_ps=112.61 progress=91/101 failures=0
question=92/101 repeat=1/1 correct=yes latency=61.21s completion_tokens=6937 token_ps=113.33 progress=92/101 failures=0
question=93/101 repeat=1/1 correct=yes latency=2.51s completion_tokens=259 token_ps=103.05 progress=93/101 failures=0
question=94/101 repeat=1/1 correct=yes latency=2.72s completion_tokens=287 token_ps=105.64 progress=94/101 failures=0
question=95/101 repeat=1/1 correct=yes latency=10.75s completion_tokens=1200 token_ps=111.68 progress=95/101 failures=0
question=96/101 repeat=1/1 correct=no latency=5.92s completion_tokens=651 token_ps=110.05 progress=96/101 failures=0
question=97/101 repeat=1/1 correct=yes latency=102.08s completion_tokens=11571 token_ps=113.35 progress=97/101 failures=0
question=98/101 repeat=1/1 correct=yes latency=69.35s completion_tokens=7863 token_ps=113.39 progress=98/101 failures=0
question=99/101 repeat=1/1 correct=yes latency=9.73s completion_tokens=1083 token_ps=111.25 progress=99/101 failures=0
question=100/101 repeat=1/1 correct=yes latency=12.37s completion_tokens=1384 token_ps=111.90 progress=100/101 failures=0
question=101/101 repeat=1/1 correct=no latency=207.83s completion_tokens=23535 token_ps=113.24 progress=101/101 failures=0
kuvecodebench: 87.13% (88 / 101 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/prune25/evaluation/kuvecodebench.jsonl
