[prune50] evaluating gpqa
dataset=gpqa model=/mnt/docker_data/v4-converted/v4-prune50-keep128 total=249 resumed=0 pending=249 workers=1 run=806a262c732947a2
question=68/249 repeat=1/1 correct=yes latency=119.97s completion_tokens=13438 token_ps=112.02 progress=68/249 failures=0
question=69/249 repeat=1/1 correct=yes latency=13.17s completion_tokens=1495 token_ps=113.51 progress=69/249 failures=0
question=70/249 repeat=1/1 correct=yes latency=222.86s completion_tokens=25343 token_ps=113.72 progress=70/249 failures=0
question=71/249 repeat=1/1 correct=yes latency=85.26s completion_tokens=9703 token_ps=113.81 progress=71/249 failures=0
question=72/249 repeat=1/1 correct=no latency=10.91s completion_tokens=1235 token_ps=113.23 progress=72/249 failures=0
question=73/249 repeat=1/1 correct=no latency=288.31s completion_tokens=32768 token_ps=113.66 progress=73/249 failures=0
question=74/249 repeat=1/1 correct=yes latency=16.58s completion_tokens=1881 token_ps=113.46 progress=74/249 failures=0
question=75/249 repeat=1/1 correct=no latency=263.68s completion_tokens=29958 token_ps=113.62 progress=75/249 failures=0
question=76/249 repeat=1/1 correct=no latency=49.57s completion_tokens=5639 token_ps=113.77 progress=76/249 failures=0
question=77/249 repeat=1/1 correct=no latency=83.20s completion_tokens=9474 token_ps=113.87 progress=77/249 failures=0
question=78/249 repeat=1/1 correct=no latency=288.32s completion_tokens=32768 token_ps=113.65 progress=78/249 failures=0
question=79/249 repeat=1/1 correct=yes latency=63.68s completion_tokens=7249 token_ps=113.84 progress=79/249 failures=0
question=80/249 repeat=1/1 correct=yes latency=2.12s completion_tokens=225 token_ps=106.26 progress=80/249 failures=0
question=81/249 repeat=1/1 correct=yes latency=17.48s completion_tokens=1988 token_ps=113.71 progress=81/249 failures=0
question=82/249 repeat=1/1 correct=yes latency=10.66s completion_tokens=1206 token_ps=113.14 progress=82/249 failures=0
question=83/249 repeat=1/1 correct=yes latency=52.69s completion_tokens=6000 token_ps=113.87 progress=83/249 failures=0
question=84/249 repeat=1/1 correct=no latency=148.07s completion_tokens=16848 token_ps=113.78 progress=84/249 failures=0
question=85/249 repeat=1/1 correct=no latency=27.09s completion_tokens=3085 token_ps=113.86 progress=85/249 failures=0
question=86/249 repeat=1/1 correct=yes latency=8.38s completion_tokens=944 token_ps=112.62 progress=86/249 failures=0
question=87/249 repeat=1/1 correct=yes latency=112.87s completion_tokens=12849 token_ps=113.84 progress=87/249 failures=0
question=88/249 repeat=1/1 correct=no latency=10.23s completion_tokens=1158 token_ps=113.20 progress=88/249 failures=0
question=89/249 repeat=1/1 correct=no latency=288.31s completion_tokens=32768 token_ps=113.66 progress=89/249 failures=0
question=90/249 repeat=1/1 correct=yes latency=37.92s completion_tokens=4318 token_ps=113.87 progress=90/249 failures=0
question=91/249 repeat=1/1 correct=yes latency=3.83s completion_tokens=421 token_ps=109.81 progress=91/249 failures=0
question=92/249 repeat=1/1 correct=no latency=7.19s completion_tokens=809 token_ps=112.45 progress=92/249 failures=0
question=93/249 repeat=1/1 correct=no latency=250.43s completion_tokens=28471 token_ps=113.69 progress=93/249 failures=0
question=94/249 repeat=1/1 correct=no latency=142.01s completion_tokens=16161 token_ps=113.80 progress=94/249 failures=0
question=95/249 repeat=1/1 correct=no latency=21.54s completion_tokens=2451 token_ps=113.80 progress=95/249 failures=0
question=96/249 repeat=1/1 correct=no latency=288.30s completion_tokens=32768 token_ps=113.66 progress=96/249 failures=0
question=97/249 repeat=1/1 correct=no latency=288.40s completion_tokens=32768 token_ps=113.62 progress=97/249 failures=0
question=98/249 repeat=1/1 correct=yes latency=22.13s completion_tokens=2516 token_ps=113.68 progress=98/249 failures=0
question=99/249 repeat=1/1 correct=yes latency=3.96s completion_tokens=437 token_ps=110.24 progress=99/249 failures=0
question=100/249 repeat=1/1 correct=yes latency=44.99s completion_tokens=5124 token_ps=113.89 progress=100/249 failures=0
question=101/249 repeat=1/1 correct=no latency=288.35s completion_tokens=32768 token_ps=113.64 progress=101/249 failures=0
question=102/249 repeat=1/1 correct=no latency=288.43s completion_tokens=32768 token_ps=113.61 progress=102/249 failures=0
question=103/249 repeat=1/1 correct=no latency=19.38s completion_tokens=2204 token_ps=113.75 progress=103/249 failures=0
question=104/249 repeat=1/1 correct=no latency=173.69s completion_tokens=19761 token_ps=113.77 progress=104/249 failures=0
question=105/249 repeat=1/1 correct=no latency=288.34s completion_tokens=32768 token_ps=113.64 progress=105/249 failures=0
question=106/249 repeat=1/1 correct=yes latency=19.25s completion_tokens=2190 token_ps=113.77 progress=106/249 failures=0
question=107/249 repeat=1/1 correct=no latency=286.00s completion_tokens=32401 token_ps=113.29 progress=107/249 failures=0
question=108/249 repeat=1/1 correct=no latency=52.32s completion_tokens=5959 token_ps=113.89 progress=108/249 failures=0
question=109/249 repeat=1/1 correct=yes latency=2.80s completion_tokens=303 token_ps=108.38 progress=109/249 failures=0
question=110/249 repeat=1/1 correct=yes latency=28.77s completion_tokens=3276 token_ps=113.89 progress=110/249 failures=0
question=111/249 repeat=1/1 correct=no latency=102.20s completion_tokens=11635 token_ps=113.84 progress=111/249 failures=0
question=112/249 repeat=1/1 correct=yes latency=88.27s completion_tokens=10050 token_ps=113.86 progress=112/249 failures=0
question=113/249 repeat=1/1 correct=yes latency=4.34s completion_tokens=480 token_ps=110.66 progress=113/249 failures=0
question=114/249 repeat=1/1 correct=no latency=12.93s completion_tokens=1468 token_ps=113.56 progress=114/249 failures=0
question=115/249 repeat=1/1 correct=yes latency=9.39s completion_tokens=1062 token_ps=113.05 progress=115/249 failures=0
question=116/249 repeat=1/1 correct=yes latency=37.35s completion_tokens=4250 token_ps=113.78 progress=116/249 failures=0
question=117/249 repeat=1/1 correct=no latency=30.88s completion_tokens=3514 token_ps=113.79 progress=117/249 failures=0
question=118/249 repeat=1/1 correct=yes latency=20.04s completion_tokens=2281 token_ps=113.80 progress=118/249 failures=0
question=119/249 repeat=1/1 correct=no latency=102.73s completion_tokens=11692 token_ps=113.81 progress=119/249 failures=0
question=120/249 repeat=1/1 correct=yes latency=250.65s completion_tokens=28495 token_ps=113.68 progress=120/249 failures=0
question=121/249 repeat=1/1 correct=no latency=166.89s completion_tokens=18988 token_ps=113.78 progress=121/249 failures=0
question=122/249 repeat=1/1 correct=no latency=29.19s completion_tokens=3324 token_ps=113.86 progress=122/249 failures=0
question=123/249 repeat=1/1 correct=yes latency=46.71s completion_tokens=5320 token_ps=113.89 progress=123/249 failures=0
question=124/249 repeat=1/1 correct=yes latency=3.58s completion_tokens=393 token_ps=109.76 progress=124/249 failures=0
question=125/249 repeat=1/1 correct=no latency=62.04s completion_tokens=7068 token_ps=113.92 progress=125/249 failures=0
question=126/249 repeat=1/1 correct=yes latency=268.34s completion_tokens=30467 token_ps=113.54 progress=126/249 failures=0
question=127/249 repeat=1/1 correct=no latency=29.95s completion_tokens=3409 token_ps=113.82 progress=127/249 failures=0
question=128/249 repeat=1/1 correct=yes latency=276.68s completion_tokens=31449 token_ps=113.67 progress=128/249 failures=0
question=129/249 repeat=1/1 correct=yes latency=5.21s completion_tokens=580 token_ps=111.30 progress=129/249 failures=0
question=130/249 repeat=1/1 correct=no latency=27.82s completion_tokens=3165 token_ps=113.78 progress=130/249 failures=0
question=131/249 repeat=1/1 correct=no latency=131.20s completion_tokens=14931 token_ps=113.80 progress=131/249 failures=0
question=132/249 repeat=1/1 correct=no latency=31.52s completion_tokens=3589 token_ps=113.86 progress=132/249 failures=0
question=133/249 repeat=1/1 correct=yes latency=157.86s completion_tokens=17945 token_ps=113.68 progress=133/249 failures=0
question=134/249 repeat=1/1 correct=no latency=288.35s completion_tokens=32768 token_ps=113.64 progress=134/249 failures=0
question=135/249 repeat=1/1 correct=no latency=169.22s completion_tokens=19251 token_ps=113.76 progress=135/249 failures=0
question=136/249 repeat=1/1 correct=yes latency=45.44s completion_tokens=5172 token_ps=113.82 progress=136/249 failures=0
question=137/249 repeat=1/1 correct=yes latency=72.98s completion_tokens=8311 token_ps=113.88 progress=137/249 failures=0
question=138/249 repeat=1/1 correct=no latency=68.10s completion_tokens=7756 token_ps=113.89 progress=138/249 failures=0
question=139/249 repeat=1/1 correct=no latency=32.32s completion_tokens=3679 token_ps=113.83 progress=139/249 failures=0
question=140/249 repeat=1/1 correct=no latency=154.26s completion_tokens=17551 token_ps=113.78 progress=140/249 failures=0
question=141/249 repeat=1/1 correct=yes latency=16.96s completion_tokens=1927 token_ps=113.64 progress=141/249 failures=0
question=142/249 repeat=1/1 correct=no latency=288.29s completion_tokens=32768 token_ps=113.66 progress=142/249 failures=0
question=143/249 repeat=1/1 correct=no latency=66.02s completion_tokens=7518 token_ps=113.87 progress=143/249 failures=0
question=144/249 repeat=1/1 correct=no latency=288.55s completion_tokens=32768 token_ps=113.56 progress=144/249 failures=0
question=145/249 repeat=1/1 correct=yes latency=36.11s completion_tokens=4111 token_ps=113.86 progress=145/249 failures=0
question=146/249 repeat=1/1 correct=yes latency=9.78s completion_tokens=1106 token_ps=113.11 progress=146/249 failures=0
question=147/249 repeat=1/1 correct=no latency=288.33s completion_tokens=32768 token_ps=113.65 progress=147/249 failures=0
question=148/249 repeat=1/1 correct=yes latency=12.02s completion_tokens=1363 token_ps=113.36 progress=148/249 failures=0
question=149/249 repeat=1/1 correct=no latency=2.85s completion_tokens=309 token_ps=108.39 progress=149/249 failures=0
question=150/249 repeat=1/1 correct=no latency=226.67s completion_tokens=25774 token_ps=113.71 progress=150/249 failures=0
question=151/249 repeat=1/1 correct=yes latency=17.20s completion_tokens=1957 token_ps=113.81 progress=151/249 failures=0
question=152/249 repeat=1/1 correct=no latency=289.41s completion_tokens=32768 token_ps=113.22 progress=152/249 failures=0
question=153/249 repeat=1/1 correct=no latency=10.84s completion_tokens=1227 token_ps=113.16 progress=153/249 failures=0
question=154/249 repeat=1/1 correct=yes latency=100.00s completion_tokens=11383 token_ps=113.83 progress=154/249 failures=0
question=155/249 repeat=1/1 correct=yes latency=64.19s completion_tokens=7310 token_ps=113.88 progress=155/249 failures=0
question=156/249 repeat=1/1 correct=yes latency=215.41s completion_tokens=24496 token_ps=113.72 progress=156/249 failures=0
question=157/249 repeat=1/1 correct=yes latency=120.84s completion_tokens=13755 token_ps=113.83 progress=157/249 failures=0
question=158/249 repeat=1/1 correct=yes latency=10.89s completion_tokens=1233 token_ps=113.27 progress=158/249 failures=0
question=159/249 repeat=1/1 correct=no latency=135.54s completion_tokens=15421 token_ps=113.78 progress=159/249 failures=0
question=160/249 repeat=1/1 correct=no latency=288.36s completion_tokens=32768 token_ps=113.64 progress=160/249 failures=0
question=161/249 repeat=1/1 correct=yes latency=37.53s completion_tokens=4272 token_ps=113.83 progress=161/249 failures=0
question=162/249 repeat=1/1 correct=no latency=288.33s completion_tokens=32768 token_ps=113.65 progress=162/249 failures=0
question=163/249 repeat=1/1 correct=no latency=260.99s completion_tokens=29660 token_ps=113.65 progress=163/249 failures=0
question=164/249 repeat=1/1 correct=yes latency=16.22s completion_tokens=1842 token_ps=113.59 progress=164/249 failures=0
question=165/249 repeat=1/1 correct=yes latency=5.97s completion_tokens=664 token_ps=111.31 progress=165/249 failures=0
question=166/249 repeat=1/1 correct=yes latency=4.71s completion_tokens=523 token_ps=111.15 progress=166/249 failures=0
question=167/249 repeat=1/1 correct=no latency=67.92s completion_tokens=7736 token_ps=113.91 progress=167/249 failures=0
question=168/249 repeat=1/1 correct=yes latency=203.62s completion_tokens=23160 token_ps=113.74 progress=168/249 failures=0
question=169/249 repeat=1/1 correct=no latency=149.83s completion_tokens=17047 token_ps=113.78 progress=169/249 failures=0
question=170/249 repeat=1/1 correct=no latency=47.14s completion_tokens=5366 token_ps=113.82 progress=170/249 failures=0
question=171/249 repeat=1/1 correct=no latency=142.19s completion_tokens=16181 token_ps=113.80 progress=171/249 failures=0
question=172/249 repeat=1/1 correct=no latency=6.07s completion_tokens=678 token_ps=111.75 progress=172/249 failures=0
question=173/249 repeat=1/1 correct=no latency=15.67s completion_tokens=1782 token_ps=113.72 progress=173/249 failures=0
question=174/249 repeat=1/1 correct=yes latency=27.18s completion_tokens=3096 token_ps=113.90 progress=174/249 failures=0
question=175/249 repeat=1/1 correct=no latency=229.69s completion_tokens=26123 token_ps=113.73 progress=175/249 failures=0
question=176/249 repeat=1/1 correct=yes latency=213.71s completion_tokens=24262 token_ps=113.53 progress=176/249 failures=0
question=177/249 repeat=1/1 correct=no latency=288.37s completion_tokens=32768 token_ps=113.63 progress=177/249 failures=0
question=178/249 repeat=1/1 correct=no latency=76.48s completion_tokens=8708 token_ps=113.86 progress=178/249 failures=0
question=179/249 repeat=1/1 correct=no latency=288.30s completion_tokens=32768 token_ps=113.66 progress=179/249 failures=0
question=180/249 repeat=1/1 correct=no latency=150.50s completion_tokens=17126 token_ps=113.80 progress=180/249 failures=0
question=181/249 repeat=1/1 correct=yes latency=3.96s completion_tokens=437 token_ps=110.38 progress=181/249 failures=0
question=182/249 repeat=1/1 correct=yes latency=139.74s completion_tokens=15904 token_ps=113.81 progress=182/249 failures=0
question=183/249 repeat=1/1 correct=yes latency=22.22s completion_tokens=2508 token_ps=112.85 progress=183/249 failures=0
question=184/249 repeat=1/1 correct=yes latency=285.54s completion_tokens=32355 token_ps=113.31 progress=184/249 failures=0
question=185/249 repeat=1/1 correct=yes latency=4.61s completion_tokens=511 token_ps=110.86 progress=185/249 failures=0
question=186/249 repeat=1/1 correct=yes latency=103.35s completion_tokens=11767 token_ps=113.85 progress=186/249 failures=0
question=187/249 repeat=1/1 correct=yes latency=9.34s completion_tokens=1055 token_ps=112.97 progress=187/249 failures=0
question=188/249 repeat=1/1 correct=no latency=270.61s completion_tokens=30754 token_ps=113.65 progress=188/249 failures=0
question=189/249 repeat=1/1 correct=yes latency=45.78s completion_tokens=5211 token_ps=113.83 progress=189/249 failures=0
question=190/249 repeat=1/1 correct=yes latency=254.43s completion_tokens=28916 token_ps=113.65 progress=190/249 failures=0
question=191/249 repeat=1/1 correct=yes latency=185.70s completion_tokens=21126 token_ps=113.76 progress=191/249 failures=0
question=192/249 repeat=1/1 correct=yes latency=24.63s completion_tokens=2804 token_ps=113.83 progress=192/249 failures=0
question=193/249 repeat=1/1 correct=yes latency=97.34s completion_tokens=11082 token_ps=113.85 progress=193/249 failures=0
question=194/249 repeat=1/1 correct=no latency=7.99s completion_tokens=900 token_ps=112.63 progress=194/249 failures=0
question=195/249 repeat=1/1 correct=yes latency=3.87s completion_tokens=424 token_ps=109.53 progress=195/249 failures=0
question=196/249 repeat=1/1 correct=no latency=289.08s completion_tokens=32768 token_ps=113.35 progress=196/249 failures=0
question=197/249 repeat=1/1 correct=no latency=288.29s completion_tokens=32768 token_ps=113.66 progress=197/249 failures=0
question=198/249 repeat=1/1 correct=no latency=15.42s completion_tokens=1750 token_ps=113.47 progress=198/249 failures=0
question=199/249 repeat=1/1 correct=no latency=28.70s completion_tokens=3265 token_ps=113.77 progress=199/249 failures=0
question=200/249 repeat=1/1 correct=yes latency=64.59s completion_tokens=7355 token_ps=113.87 progress=200/249 failures=0
question=201/249 repeat=1/1 correct=yes latency=43.26s completion_tokens=4927 token_ps=113.88 progress=201/249 failures=0
question=202/249 repeat=1/1 correct=yes latency=7.37s completion_tokens=828 token_ps=112.42 progress=202/249 failures=0
question=203/249 repeat=1/1 correct=no latency=288.32s completion_tokens=32768 token_ps=113.65 progress=203/249 failures=0
question=204/249 repeat=1/1 correct=yes latency=72.92s completion_tokens=8304 token_ps=113.88 progress=204/249 failures=0
question=205/249 repeat=1/1 correct=yes latency=26.10s completion_tokens=2963 token_ps=113.51 progress=205/249 failures=0
question=206/249 repeat=1/1 correct=yes latency=7.61s completion_tokens=856 token_ps=112.53 progress=206/249 failures=0
question=207/249 repeat=1/1 correct=no latency=19.10s completion_tokens=2174 token_ps=113.79 progress=207/249 failures=0
question=208/249 repeat=1/1 correct=yes latency=70.82s completion_tokens=8063 token_ps=113.85 progress=208/249 failures=0
question=209/249 repeat=1/1 correct=no latency=180.55s completion_tokens=20537 token_ps=113.75 progress=209/249 failures=0
question=210/249 repeat=1/1 correct=yes latency=36.15s completion_tokens=4113 token_ps=113.79 progress=210/249 failures=0
question=211/249 repeat=1/1 correct=no latency=8.24s completion_tokens=929 token_ps=112.75 progress=211/249 failures=0
question=212/249 repeat=1/1 correct=no latency=110.55s completion_tokens=12587 token_ps=113.85 progress=212/249 failures=0
question=213/249 repeat=1/1 correct=yes latency=12.91s completion_tokens=1465 token_ps=113.52 progress=213/249 failures=0
question=214/249 repeat=1/1 correct=yes latency=21.90s completion_tokens=2492 token_ps=113.79 progress=214/249 failures=0
question=215/249 repeat=1/1 correct=no latency=288.27s completion_tokens=32768 token_ps=113.67 progress=215/249 failures=0
question=216/249 repeat=1/1 correct=yes latency=64.50s completion_tokens=7345 token_ps=113.88 progress=216/249 failures=0
question=217/249 repeat=1/1 correct=yes latency=12.47s completion_tokens=1415 token_ps=113.43 progress=217/249 failures=0
question=218/249 repeat=1/1 correct=no latency=36.81s completion_tokens=4191 token_ps=113.87 progress=218/249 failures=0
question=219/249 repeat=1/1 correct=no latency=185.38s completion_tokens=21088 token_ps=113.76 progress=219/249 failures=0
question=220/249 repeat=1/1 correct=yes latency=11.38s completion_tokens=1289 token_ps=113.29 progress=220/249 failures=0
question=221/249 repeat=1/1 correct=no latency=288.35s completion_tokens=32768 token_ps=113.64 progress=221/249 failures=0
question=222/249 repeat=1/1 correct=no latency=11.18s completion_tokens=1267 token_ps=113.30 progress=222/249 failures=0
question=223/249 repeat=1/1 correct=yes latency=16.09s completion_tokens=1822 token_ps=113.21 progress=223/249 failures=0
question=224/249 repeat=1/1 correct=yes latency=37.51s completion_tokens=4266 token_ps=113.74 progress=224/249 failures=0
question=225/249 repeat=1/1 correct=no latency=48.66s completion_tokens=5540 token_ps=113.85 progress=225/249 failures=0
question=226/249 repeat=1/1 correct=yes latency=129.29s completion_tokens=14710 token_ps=113.78 progress=226/249 failures=0
question=227/249 repeat=1/1 correct=no latency=100.78s completion_tokens=11474 token_ps=113.86 progress=227/249 failures=0
question=228/249 repeat=1/1 correct=yes latency=8.72s completion_tokens=983 token_ps=112.79 progress=228/249 failures=0
question=229/249 repeat=1/1 correct=no latency=220.65s completion_tokens=25095 token_ps=113.73 progress=229/249 failures=0
question=230/249 repeat=1/1 correct=yes latency=135.98s completion_tokens=15476 token_ps=113.81 progress=230/249 failures=0
question=231/249 repeat=1/1 correct=yes latency=44.36s completion_tokens=5050 token_ps=113.85 progress=231/249 failures=0
question=232/249 repeat=1/1 correct=yes latency=127.76s completion_tokens=14526 token_ps=113.70 progress=232/249 failures=0
question=233/249 repeat=1/1 correct=no latency=23.84s completion_tokens=2714 token_ps=113.82 progress=233/249 failures=0
question=234/249 repeat=1/1 correct=yes latency=165.41s completion_tokens=18793 token_ps=113.62 progress=234/249 failures=0
question=235/249 repeat=1/1 correct=yes latency=195.50s completion_tokens=22222 token_ps=113.67 progress=235/249 failures=0
question=236/249 repeat=1/1 correct=yes latency=51.01s completion_tokens=5808 token_ps=113.86 progress=236/249 failures=0
question=237/249 repeat=1/1 correct=yes latency=63.02s completion_tokens=7179 token_ps=113.91 progress=237/249 failures=0
question=238/249 repeat=1/1 correct=yes latency=9.87s completion_tokens=1116 token_ps=113.02 progress=238/249 failures=0
question=239/249 repeat=1/1 correct=no latency=288.44s completion_tokens=32768 token_ps=113.61 progress=239/249 failures=0
question=240/249 repeat=1/1 correct=no latency=288.26s completion_tokens=32768 token_ps=113.67 progress=240/249 failures=0
question=241/249 repeat=1/1 correct=yes latency=11.58s completion_tokens=1312 token_ps=113.31 progress=241/249 failures=0
question=242/249 repeat=1/1 correct=no latency=288.26s completion_tokens=32768 token_ps=113.67 progress=242/249 failures=0
question=243/249 repeat=1/1 correct=yes latency=111.33s completion_tokens=12606 token_ps=113.23 progress=243/249 failures=0
question=244/249 repeat=1/1 correct=yes latency=164.74s completion_tokens=18746 token_ps=113.79 progress=244/249 failures=0
question=245/249 repeat=1/1 correct=yes latency=6.38s completion_tokens=714 token_ps=111.95 progress=245/249 failures=0
