[prune50] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/docker_data/v4-converted/v4-prune50-keep128 total=101 resumed=0 pending=101 workers=1 run=009271a3d9cf2641
question=25/101 repeat=1/1 correct=yes latency=5.80s completion_tokens=640 token_ps=110.44 progress=25/101 failures=0
question=26/101 repeat=1/1 correct=yes latency=2.06s completion_tokens=209 token_ps=101.56 progress=26/101 failures=0
question=27/101 repeat=1/1 correct=yes latency=4.01s completion_tokens=434 token_ps=108.25 progress=27/101 failures=0
question=28/101 repeat=1/1 correct=no latency=132.97s completion_tokens=15147 token_ps=113.91 progress=28/101 failures=0
question=29/101 repeat=1/1 correct=no latency=19.90s completion_tokens=2261 token_ps=113.61 progress=29/101 failures=0
question=30/101 repeat=1/1 correct=yes latency=2.01s completion_tokens=203 token_ps=100.94 progress=30/101 failures=0
question=31/101 repeat=1/1 correct=yes latency=2.82s completion_tokens=298 token_ps=105.60 progress=31/101 failures=0
question=32/101 repeat=1/1 correct=yes latency=2.84s completion_tokens=297 token_ps=104.64 progress=32/101 failures=0
question=33/101 repeat=1/1 correct=yes latency=4.84s completion_tokens=533 token_ps=110.07 progress=33/101 failures=0
question=34/101 repeat=1/1 correct=yes latency=46.67s completion_tokens=5313 token_ps=113.85 progress=34/101 failures=0
question=35/101 repeat=1/1 correct=yes latency=6.68s completion_tokens=745 token_ps=111.48 progress=35/101 failures=0
question=36/101 repeat=1/1 correct=no latency=28.67s completion_tokens=3261 token_ps=113.75 progress=36/101 failures=0
question=37/101 repeat=1/1 correct=no latency=5.79s completion_tokens=642 token_ps=110.97 progress=37/101 failures=0
question=38/101 repeat=1/1 correct=yes latency=9.23s completion_tokens=1036 token_ps=112.29 progress=38/101 failures=0
question=39/101 repeat=1/1 correct=yes latency=12.44s completion_tokens=1402 token_ps=112.68 progress=39/101 failures=0
question=40/101 repeat=1/1 correct=yes latency=6.32s completion_tokens=694 token_ps=109.83 progress=40/101 failures=0
question=41/101 repeat=1/1 correct=yes latency=37.54s completion_tokens=4214 token_ps=112.25 progress=41/101 failures=0
question=42/101 repeat=1/1 correct=yes latency=8.40s completion_tokens=942 token_ps=112.19 progress=42/101 failures=0
question=43/101 repeat=1/1 correct=no latency=288.04s completion_tokens=32768 token_ps=113.76 progress=43/101 failures=0
question=44/101 repeat=1/1 correct=no latency=77.59s completion_tokens=8838 token_ps=113.90 progress=44/101 failures=0
question=45/101 repeat=1/1 correct=no latency=4.66s completion_tokens=511 token_ps=109.67 progress=45/101 failures=0
question=46/101 repeat=1/1 correct=yes latency=1.71s completion_tokens=165 token_ps=96.30 progress=46/101 failures=0
question=47/101 repeat=1/1 correct=yes latency=17.72s completion_tokens=1884 token_ps=106.32 progress=47/101 failures=0
question=48/101 repeat=1/1 correct=yes latency=1.86s completion_tokens=185 token_ps=99.40 progress=48/101 failures=0
question=49/101 repeat=1/1 correct=no latency=282.48s completion_tokens=32086 token_ps=113.59 progress=49/101 failures=0
question=50/101 repeat=1/1 correct=yes latency=1.76s completion_tokens=176 token_ps=99.94 progress=50/101 failures=0
question=51/101 repeat=1/1 correct=yes latency=6.21s completion_tokens=688 token_ps=110.82 progress=51/101 failures=0
question=52/101 repeat=1/1 correct=yes latency=36.17s completion_tokens=4115 token_ps=113.76 progress=52/101 failures=0
question=53/101 repeat=1/1 correct=yes latency=13.28s completion_tokens=1304 token_ps=98.17 progress=53/101 failures=0
question=54/101 repeat=1/1 correct=yes latency=3.36s completion_tokens=360 token_ps=107.28 progress=54/101 failures=0
question=55/101 repeat=1/1 correct=no latency=291.29s completion_tokens=32768 token_ps=112.49 progress=55/101 failures=0
question=56/101 repeat=1/1 correct=no latency=13.87s completion_tokens=897 token_ps=64.67 progress=56/101 failures=0
question=57/101 repeat=1/1 correct=yes latency=3.06s completion_tokens=329 token_ps=107.47 progress=57/101 failures=0
question=58/101 repeat=1/1 correct=yes latency=101.35s completion_tokens=10119 token_ps=99.84 progress=58/101 failures=0
question=59/101 repeat=1/1 correct=yes latency=6.66s completion_tokens=346 token_ps=51.99 progress=59/101 failures=0
question=60/101 repeat=1/1 correct=yes latency=53.95s completion_tokens=5969 token_ps=110.64 progress=60/101 failures=0
question=61/101 repeat=1/1 correct=yes latency=24.69s completion_tokens=2768 token_ps=112.12 progress=61/101 failures=0
question=62/101 repeat=1/1 correct=yes latency=3.65s completion_tokens=395 token_ps=108.33 progress=62/101 failures=0
question=63/101 repeat=1/1 correct=yes latency=149.77s completion_tokens=17044 token_ps=113.80 progress=63/101 failures=0
question=64/101 repeat=1/1 correct=yes latency=6.33s completion_tokens=701 token_ps=110.77 progress=64/101 failures=0
question=65/101 repeat=1/1 correct=no latency=289.36s completion_tokens=32768 token_ps=113.24 progress=65/101 failures=0
question=66/101 repeat=1/1 correct=no latency=18.39s completion_tokens=2086 token_ps=113.46 progress=66/101 failures=0
question=67/101 repeat=1/1 correct=yes latency=149.65s completion_tokens=17008 token_ps=113.65 progress=67/101 failures=0
question=68/101 repeat=1/1 correct=yes latency=141.19s completion_tokens=16069 token_ps=113.81 progress=68/101 failures=0
question=69/101 repeat=1/1 correct=no latency=288.18s completion_tokens=32768 token_ps=113.71 progress=69/101 failures=0
question=70/101 repeat=1/1 correct=no latency=63.54s completion_tokens=7233 token_ps=113.83 progress=70/101 failures=0
question=71/101 repeat=1/1 correct=yes latency=5.50s completion_tokens=608 token_ps=110.54 progress=71/101 failures=0
question=72/101 repeat=1/1 correct=yes latency=18.87s completion_tokens=2137 token_ps=113.24 progress=72/101 failures=0
question=73/101 repeat=1/1 correct=yes latency=5.00s completion_tokens=550 token_ps=110.11 progress=73/101 failures=0
question=74/101 repeat=1/1 correct=yes latency=6.68s completion_tokens=742 token_ps=111.05 progress=74/101 failures=0
question=75/101 repeat=1/1 correct=yes latency=149.96s completion_tokens=17053 token_ps=113.72 progress=75/101 failures=0
question=76/101 repeat=1/1 correct=yes latency=259.17s completion_tokens=29372 token_ps=113.33 progress=76/101 failures=0
question=77/101 repeat=1/1 correct=yes latency=8.97s completion_tokens=1007 token_ps=112.26 progress=77/101 failures=0
question=78/101 repeat=1/1 correct=yes latency=202.44s completion_tokens=22984 token_ps=113.54 progress=78/101 failures=0
question=79/101 repeat=1/1 correct=yes latency=55.95s completion_tokens=6291 token_ps=112.45 progress=79/101 failures=0
question=80/101 repeat=1/1 correct=yes latency=83.69s completion_tokens=9529 token_ps=113.86 progress=80/101 failures=0
question=81/101 repeat=1/1 correct=yes latency=92.19s completion_tokens=10488 token_ps=113.76 progress=81/101 failures=0
question=82/101 repeat=1/1 correct=yes latency=7.25s completion_tokens=803 token_ps=110.79 progress=82/101 failures=0
question=83/101 repeat=1/1 correct=yes latency=1.99s completion_tokens=203 token_ps=101.82 progress=83/101 failures=0
question=84/101 repeat=1/1 correct=no latency=101.01s completion_tokens=11499 token_ps=113.84 progress=84/101 failures=0
question=85/101 repeat=1/1 correct=yes latency=80.38s completion_tokens=9060 token_ps=112.71 progress=85/101 failures=0
question=86/101 repeat=1/1 correct=yes latency=54.33s completion_tokens=6183 token_ps=113.80 progress=86/101 failures=0
question=87/101 repeat=1/1 correct=yes latency=9.73s completion_tokens=1092 token_ps=112.28 progress=87/101 failures=0
question=88/101 repeat=1/1 correct=yes latency=10.71s completion_tokens=1205 token_ps=112.53 progress=88/101 failures=0
question=89/101 repeat=1/1 correct=no latency=38.30s completion_tokens=4357 token_ps=113.75 progress=89/101 failures=0
question=90/101 repeat=1/1 correct=yes latency=2.04s completion_tokens=206 token_ps=101.03 progress=90/101 failures=0
question=91/101 repeat=1/1 correct=yes latency=67.01s completion_tokens=7626 token_ps=113.81 progress=91/101 failures=0
question=92/101 repeat=1/1 correct=yes latency=55.63s completion_tokens=6288 token_ps=113.03 progress=92/101 failures=0
question=93/101 repeat=1/1 correct=yes latency=2.61s completion_tokens=270 token_ps=103.42 progress=93/101 failures=0
question=94/101 repeat=1/1 correct=yes latency=2.96s completion_tokens=316 token_ps=106.87 progress=94/101 failures=0
question=95/101 repeat=1/1 correct=yes latency=87.14s completion_tokens=9913 token_ps=113.76 progress=95/101 failures=0
question=96/101 repeat=1/1 correct=no latency=9.77s completion_tokens=1100 token_ps=112.62 progress=96/101 failures=0
question=97/101 repeat=1/1 correct=no latency=57.19s completion_tokens=6515 token_ps=113.92 progress=97/101 failures=0
question=98/101 repeat=1/1 correct=yes latency=151.96s completion_tokens=17201 token_ps=113.20 progress=98/101 failures=0
question=99/101 repeat=1/1 correct=yes latency=16.75s completion_tokens=1897 token_ps=113.24 progress=99/101 failures=0
question=100/101 repeat=1/1 correct=no latency=17.25s completion_tokens=1952 token_ps=113.15 progress=100/101 failures=0
question=101/101 repeat=1/1 correct=yes latency=191.49s completion_tokens=21671 token_ps=113.17 progress=101/101 failures=0
kuvecodebench: 78.22% (79 / 101 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/prune50/evaluation/kuvecodebench.jsonl
