[full] evaluating gpqa
dataset=gpqa model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=249 resumed=0 pending=249 workers=1 run=60072d63f26d6b66
question=89/249 repeat=1/1 correct=no latency=154.23s completion_tokens=17598 token_ps=114.10 progress=89/249 failures=0
question=90/249 repeat=1/1 correct=yes latency=25.34s completion_tokens=2891 token_ps=114.08 progress=90/249 failures=0
question=91/249 repeat=1/1 correct=yes latency=11.50s completion_tokens=1304 token_ps=113.41 progress=91/249 failures=0
question=92/249 repeat=1/1 correct=yes latency=3.58s completion_tokens=394 token_ps=109.98 progress=92/249 failures=0
question=93/249 repeat=1/1 correct=yes latency=104.79s completion_tokens=11964 token_ps=114.17 progress=93/249 failures=0
question=94/249 repeat=1/1 correct=no latency=136.68s completion_tokens=15570 token_ps=113.91 progress=94/249 failures=0
question=95/249 repeat=1/1 correct=no latency=33.96s completion_tokens=3878 token_ps=114.19 progress=95/249 failures=0
question=96/249 repeat=1/1 correct=no latency=288.12s completion_tokens=32768 token_ps=113.73 progress=96/249 failures=0
question=97/249 repeat=1/1 correct=yes latency=205.77s completion_tokens=23470 token_ps=114.06 progress=97/249 failures=0
question=98/249 repeat=1/1 correct=no latency=3.24s completion_tokens=354 token_ps=109.40 progress=98/249 failures=0
question=99/249 repeat=1/1 correct=yes latency=3.66s completion_tokens=405 token_ps=110.58 progress=99/249 failures=0
question=100/249 repeat=1/1 correct=yes latency=8.18s completion_tokens=924 token_ps=112.94 progress=100/249 failures=0
question=101/249 repeat=1/1 correct=yes latency=221.34s completion_tokens=25245 token_ps=114.05 progress=101/249 failures=0
question=102/249 repeat=1/1 correct=yes latency=136.99s completion_tokens=15620 token_ps=114.02 progress=102/249 failures=0
question=103/249 repeat=1/1 correct=no latency=95.85s completion_tokens=10913 token_ps=113.85 progress=103/249 failures=0
question=104/249 repeat=1/1 correct=no latency=77.95s completion_tokens=8896 token_ps=114.12 progress=104/249 failures=0
question=105/249 repeat=1/1 correct=no latency=295.59s completion_tokens=32768 token_ps=110.86 progress=105/249 failures=0
question=106/249 repeat=1/1 correct=yes latency=46.23s completion_tokens=5278 token_ps=114.17 progress=106/249 failures=0
question=107/249 repeat=1/1 correct=no latency=262.92s completion_tokens=29938 token_ps=113.87 progress=107/249 failures=0
question=108/249 repeat=1/1 correct=yes latency=17.44s completion_tokens=1990 token_ps=114.07 progress=108/249 failures=0
question=109/249 repeat=1/1 correct=yes latency=21.40s completion_tokens=2443 token_ps=114.14 progress=109/249 failures=0
question=110/249 repeat=1/1 correct=yes latency=12.01s completion_tokens=1360 token_ps=113.27 progress=110/249 failures=0
question=111/249 repeat=1/1 correct=yes latency=29.46s completion_tokens=3360 token_ps=114.05 progress=111/249 failures=0
question=112/249 repeat=1/1 correct=yes latency=25.39s completion_tokens=2898 token_ps=114.13 progress=112/249 failures=0
question=113/249 repeat=1/1 correct=yes latency=72.68s completion_tokens=8221 token_ps=113.12 progress=113/249 failures=0
question=114/249 repeat=1/1 correct=yes latency=2.93s completion_tokens=319 token_ps=108.78 progress=114/249 failures=0
question=115/249 repeat=1/1 correct=yes latency=12.09s completion_tokens=1373 token_ps=113.58 progress=115/249 failures=0
question=116/249 repeat=1/1 correct=yes latency=79.37s completion_tokens=9061 token_ps=114.16 progress=116/249 failures=0
question=117/249 repeat=1/1 correct=no latency=100.73s completion_tokens=11494 token_ps=114.11 progress=117/249 failures=0
question=118/249 repeat=1/1 correct=yes latency=19.47s completion_tokens=2220 token_ps=114.00 progress=118/249 failures=0
question=119/249 repeat=1/1 correct=yes latency=20.04s completion_tokens=2284 token_ps=114.00 progress=119/249 failures=0
question=120/249 repeat=1/1 correct=yes latency=51.83s completion_tokens=5917 token_ps=114.17 progress=120/249 failures=0
question=121/249 repeat=1/1 correct=yes latency=91.17s completion_tokens=10405 token_ps=114.12 progress=121/249 failures=0
question=122/249 repeat=1/1 correct=yes latency=127.49s completion_tokens=14555 token_ps=114.17 progress=122/249 failures=0
question=123/249 repeat=1/1 correct=yes latency=39.92s completion_tokens=4558 token_ps=114.18 progress=123/249 failures=0
question=124/249 repeat=1/1 correct=yes latency=4.28s completion_tokens=472 token_ps=110.39 progress=124/249 failures=0
question=125/249 repeat=1/1 correct=yes latency=2.94s completion_tokens=321 token_ps=109.33 progress=125/249 failures=0
question=126/249 repeat=1/1 correct=no latency=35.49s completion_tokens=4054 token_ps=114.23 progress=126/249 failures=0
question=127/249 repeat=1/1 correct=yes latency=9.65s completion_tokens=1093 token_ps=113.26 progress=127/249 failures=0
question=128/249 repeat=1/1 correct=no latency=126.30s completion_tokens=14399 token_ps=114.01 progress=128/249 failures=0
question=129/249 repeat=1/1 correct=yes latency=8.31s completion_tokens=938 token_ps=112.81 progress=129/249 failures=0
question=130/249 repeat=1/1 correct=no latency=10.34s completion_tokens=1172 token_ps=113.31 progress=130/249 failures=0
question=131/249 repeat=1/1 correct=no latency=37.00s completion_tokens=4222 token_ps=114.12 progress=131/249 failures=0
question=132/249 repeat=1/1 correct=no latency=53.31s completion_tokens=5950 token_ps=111.61 progress=132/249 failures=0
question=133/249 repeat=1/1 correct=yes latency=74.68s completion_tokens=8492 token_ps=113.70 progress=133/249 failures=0
question=134/249 repeat=1/1 correct=yes latency=153.36s completion_tokens=17494 token_ps=114.07 progress=134/249 failures=0
question=135/249 repeat=1/1 correct=yes latency=202.12s completion_tokens=23044 token_ps=114.01 progress=135/249 failures=0
question=136/249 repeat=1/1 correct=yes latency=13.31s completion_tokens=1514 token_ps=113.76 progress=136/249 failures=0
question=137/249 repeat=1/1 correct=yes latency=12.27s completion_tokens=1397 token_ps=113.85 progress=137/249 failures=0
question=138/249 repeat=1/1 correct=yes latency=41.39s completion_tokens=4723 token_ps=114.12 progress=138/249 failures=0
question=139/249 repeat=1/1 correct=yes latency=14.16s completion_tokens=1611 token_ps=113.76 progress=139/249 failures=0
question=140/249 repeat=1/1 correct=yes latency=27.01s completion_tokens=3079 token_ps=113.98 progress=140/249 failures=0
question=141/249 repeat=1/1 correct=yes latency=16.26s completion_tokens=1853 token_ps=113.94 progress=141/249 failures=0
question=142/249 repeat=1/1 correct=no latency=287.70s completion_tokens=32768 token_ps=113.90 progress=142/249 failures=0
question=143/249 repeat=1/1 correct=no latency=23.88s completion_tokens=2713 token_ps=113.60 progress=143/249 failures=0
question=144/249 repeat=1/1 correct=no latency=287.44s completion_tokens=32768 token_ps=114.00 progress=144/249 failures=0
question=145/249 repeat=1/1 correct=no latency=56.66s completion_tokens=6470 token_ps=114.20 progress=145/249 failures=0
question=146/249 repeat=1/1 correct=yes latency=3.12s completion_tokens=339 token_ps=108.66 progress=146/249 failures=0
question=147/249 repeat=1/1 correct=yes latency=145.54s completion_tokens=16593 token_ps=114.01 progress=147/249 failures=0
question=148/249 repeat=1/1 correct=yes latency=8.71s completion_tokens=984 token_ps=112.94 progress=148/249 failures=0
question=149/249 repeat=1/1 correct=no latency=4.44s completion_tokens=493 token_ps=111.09 progress=149/249 failures=0
question=150/249 repeat=1/1 correct=yes latency=92.05s completion_tokens=10458 token_ps=113.61 progress=150/249 failures=0
question=151/249 repeat=1/1 correct=yes latency=13.91s completion_tokens=1584 token_ps=113.88 progress=151/249 failures=0
question=152/249 repeat=1/1 correct=yes latency=63.65s completion_tokens=7234 token_ps=113.65 progress=152/249 failures=0
question=153/249 repeat=1/1 correct=yes latency=11.91s completion_tokens=1352 token_ps=113.47 progress=153/249 failures=0
question=154/249 repeat=1/1 correct=yes latency=6.60s completion_tokens=741 token_ps=112.35 progress=154/249 failures=0
question=155/249 repeat=1/1 correct=yes latency=141.71s completion_tokens=16176 token_ps=114.15 progress=155/249 failures=0
question=156/249 repeat=1/1 correct=yes latency=258.10s completion_tokens=29270 token_ps=113.41 progress=156/249 failures=0
question=157/249 repeat=1/1 correct=yes latency=28.81s completion_tokens=3279 token_ps=113.80 progress=157/249 failures=0
question=158/249 repeat=1/1 correct=yes latency=146.75s completion_tokens=16747 token_ps=114.12 progress=158/249 failures=0
question=159/249 repeat=1/1 correct=no latency=50.42s completion_tokens=5742 token_ps=113.88 progress=159/249 failures=0
question=160/249 repeat=1/1 correct=yes latency=13.41s completion_tokens=1527 token_ps=113.90 progress=160/249 failures=0
question=161/249 repeat=1/1 correct=yes latency=9.94s completion_tokens=1127 token_ps=113.41 progress=161/249 failures=0
question=162/249 repeat=1/1 correct=no latency=287.58s completion_tokens=32768 token_ps=113.94 progress=162/249 failures=0
question=163/249 repeat=1/1 correct=no latency=288.04s completion_tokens=32768 token_ps=113.76 progress=163/249 failures=0
question=164/249 repeat=1/1 correct=yes latency=21.58s completion_tokens=2454 token_ps=113.74 progress=164/249 failures=0
question=165/249 repeat=1/1 correct=yes latency=28.41s completion_tokens=3242 token_ps=114.13 progress=165/249 failures=0
question=166/249 repeat=1/1 correct=yes latency=9.95s completion_tokens=1122 token_ps=112.79 progress=166/249 failures=0
question=167/249 repeat=1/1 correct=no latency=288.03s completion_tokens=32768 token_ps=113.77 progress=167/249 failures=0
question=168/249 repeat=1/1 correct=no latency=81.05s completion_tokens=9257 token_ps=114.21 progress=168/249 failures=0
question=169/249 repeat=1/1 correct=no latency=288.12s completion_tokens=32768 token_ps=113.73 progress=169/249 failures=0
question=170/249 repeat=1/1 correct=yes latency=9.38s completion_tokens=1059 token_ps=112.95 progress=170/249 failures=0
question=171/249 repeat=1/1 correct=yes latency=17.58s completion_tokens=2001 token_ps=113.81 progress=171/249 failures=0
question=172/249 repeat=1/1 correct=yes latency=2.19s completion_tokens=233 token_ps=106.44 progress=172/249 failures=0
question=173/249 repeat=1/1 correct=yes latency=3.64s completion_tokens=401 token_ps=110.27 progress=173/249 failures=0
question=174/249 repeat=1/1 correct=yes latency=11.97s completion_tokens=1358 token_ps=113.42 progress=174/249 failures=0
question=175/249 repeat=1/1 correct=no latency=56.23s completion_tokens=6415 token_ps=114.09 progress=175/249 failures=0
question=176/249 repeat=1/1 correct=yes latency=98.83s completion_tokens=11284 token_ps=114.18 progress=176/249 failures=0
question=177/249 repeat=1/1 correct=yes latency=1.81s completion_tokens=190 token_ps=105.07 progress=177/249 failures=0
question=178/249 repeat=1/1 correct=no latency=11.58s completion_tokens=1313 token_ps=113.42 progress=178/249 failures=0
question=179/249 repeat=1/1 correct=no latency=81.65s completion_tokens=9323 token_ps=114.19 progress=179/249 failures=0
question=180/249 repeat=1/1 correct=no latency=99.28s completion_tokens=11331 token_ps=114.13 progress=180/249 failures=0
question=181/249 repeat=1/1 correct=yes latency=4.61s completion_tokens=513 token_ps=111.35 progress=181/249 failures=0
question=182/249 repeat=1/1 correct=no latency=33.39s completion_tokens=3811 token_ps=114.12 progress=182/249 failures=0
question=183/249 repeat=1/1 correct=yes latency=27.75s completion_tokens=3168 token_ps=114.16 progress=183/249 failures=0
question=184/249 repeat=1/1 correct=yes latency=114.05s completion_tokens=13019 token_ps=114.15 progress=184/249 failures=0
question=185/249 repeat=1/1 correct=yes latency=8.26s completion_tokens=931 token_ps=112.78 progress=185/249 failures=0
question=186/249 repeat=1/1 correct=yes latency=7.64s completion_tokens=861 token_ps=112.71 progress=186/249 failures=0
question=187/249 repeat=1/1 correct=yes latency=7.33s completion_tokens=827 token_ps=112.79 progress=187/249 failures=0
question=188/249 repeat=1/1 correct=yes latency=78.72s completion_tokens=8989 token_ps=114.19 progress=188/249 failures=0
question=189/249 repeat=1/1 correct=no latency=6.48s completion_tokens=728 token_ps=112.29 progress=189/249 failures=0
question=190/249 repeat=1/1 correct=no latency=287.50s completion_tokens=32768 token_ps=113.98 progress=190/249 failures=0
question=191/249 repeat=1/1 correct=yes latency=48.75s completion_tokens=5562 token_ps=114.08 progress=191/249 failures=0
question=192/249 repeat=1/1 correct=yes latency=6.66s completion_tokens=749 token_ps=112.39 progress=192/249 failures=0
question=193/249 repeat=1/1 correct=yes latency=21.47s completion_tokens=2451 token_ps=114.17 progress=193/249 failures=0
question=194/249 repeat=1/1 correct=no latency=3.49s completion_tokens=384 token_ps=110.09 progress=194/249 failures=0
question=195/249 repeat=1/1 correct=yes latency=4.27s completion_tokens=475 token_ps=111.18 progress=195/249 failures=0
question=196/249 repeat=1/1 correct=yes latency=158.02s completion_tokens=18028 token_ps=114.09 progress=196/249 failures=0
question=197/249 repeat=1/1 correct=yes latency=242.76s completion_tokens=27553 token_ps=113.50 progress=197/249 failures=0
question=198/249 repeat=1/1 correct=no latency=11.69s completion_tokens=1322 token_ps=113.11 progress=198/249 failures=0
question=199/249 repeat=1/1 correct=no latency=8.75s completion_tokens=986 token_ps=112.73 progress=199/249 failures=0
question=200/249 repeat=1/1 correct=yes latency=5.34s completion_tokens=596 token_ps=111.67 progress=200/249 failures=0
question=201/249 repeat=1/1 correct=yes latency=17.67s completion_tokens=2015 token_ps=114.06 progress=201/249 failures=0
question=202/249 repeat=1/1 correct=yes latency=7.96s completion_tokens=897 token_ps=112.63 progress=202/249 failures=0
question=203/249 repeat=1/1 correct=no latency=270.60s completion_tokens=30823 token_ps=113.90 progress=203/249 failures=0
question=204/249 repeat=1/1 correct=yes latency=87.57s completion_tokens=9952 token_ps=113.64 progress=204/249 failures=0
question=205/249 repeat=1/1 correct=yes latency=30.87s completion_tokens=3523 token_ps=114.12 progress=205/249 failures=0
question=206/249 repeat=1/1 correct=yes latency=10.26s completion_tokens=1164 token_ps=113.41 progress=206/249 failures=0
question=207/249 repeat=1/1 correct=yes latency=27.66s completion_tokens=3157 token_ps=114.12 progress=207/249 failures=0
question=208/249 repeat=1/1 correct=yes latency=152.33s completion_tokens=17343 token_ps=113.85 progress=208/249 failures=0
question=209/249 repeat=1/1 correct=no latency=12.32s completion_tokens=1393 token_ps=113.10 progress=209/249 failures=0
question=210/249 repeat=1/1 correct=yes latency=57.26s completion_tokens=6527 token_ps=114.00 progress=210/249 failures=0
question=211/249 repeat=1/1 correct=yes latency=8.50s completion_tokens=961 token_ps=113.08 progress=211/249 failures=0
question=212/249 repeat=1/1 correct=no latency=174.17s completion_tokens=19874 token_ps=114.10 progress=212/249 failures=0
question=213/249 repeat=1/1 correct=yes latency=25.87s completion_tokens=2925 token_ps=113.06 progress=213/249 failures=0
question=214/249 repeat=1/1 correct=yes latency=13.01s completion_tokens=1478 token_ps=113.59 progress=214/249 failures=0
question=215/249 repeat=1/1 correct=yes latency=38.98s completion_tokens=4450 token_ps=114.17 progress=215/249 failures=0
question=216/249 repeat=1/1 correct=yes latency=61.25s completion_tokens=6994 token_ps=114.19 progress=216/249 failures=0
question=217/249 repeat=1/1 correct=yes latency=9.28s completion_tokens=1049 token_ps=113.05 progress=217/249 failures=0
question=218/249 repeat=1/1 correct=yes latency=6.43s completion_tokens=722 token_ps=112.36 progress=218/249 failures=0
question=219/249 repeat=1/1 correct=no latency=229.90s completion_tokens=26134 token_ps=113.67 progress=219/249 failures=0
question=220/249 repeat=1/1 correct=yes latency=12.56s completion_tokens=1426 token_ps=113.57 progress=220/249 failures=0
question=221/249 repeat=1/1 correct=no latency=287.54s completion_tokens=32768 token_ps=113.96 progress=221/249 failures=0
question=222/249 repeat=1/1 correct=yes latency=3.10s completion_tokens=337 token_ps=108.68 progress=222/249 failures=0
question=223/249 repeat=1/1 correct=yes latency=6.53s completion_tokens=732 token_ps=112.18 progress=223/249 failures=0
question=224/249 repeat=1/1 correct=yes latency=21.47s completion_tokens=2447 token_ps=113.97 progress=224/249 failures=0
question=225/249 repeat=1/1 correct=yes latency=176.13s completion_tokens=20031 token_ps=113.73 progress=225/249 failures=0
question=226/249 repeat=1/1 correct=yes latency=56.65s completion_tokens=6467 token_ps=114.15 progress=226/249 failures=0
question=227/249 repeat=1/1 correct=no latency=115.55s completion_tokens=13193 token_ps=114.18 progress=227/249 failures=0
question=228/249 repeat=1/1 correct=yes latency=4.13s completion_tokens=454 token_ps=110.02 progress=228/249 failures=0
question=229/249 repeat=1/1 correct=yes latency=159.57s completion_tokens=18209 token_ps=114.11 progress=229/249 failures=0
question=230/249 repeat=1/1 correct=no latency=64.24s completion_tokens=7338 token_ps=114.22 progress=230/249 failures=0
question=231/249 repeat=1/1 correct=yes latency=8.92s completion_tokens=1008 token_ps=113.04 progress=231/249 failures=0
question=232/249 repeat=1/1 correct=yes latency=15.58s completion_tokens=1660 token_ps=106.56 progress=232/249 failures=0
question=233/249 repeat=1/1 correct=yes latency=36.20s completion_tokens=4039 token_ps=111.57 progress=233/249 failures=0
question=234/249 repeat=1/1 correct=yes latency=147.44s completion_tokens=16823 token_ps=114.10 progress=234/249 failures=0
question=235/249 repeat=1/1 correct=yes latency=34.83s completion_tokens=3974 token_ps=114.10 progress=235/249 failures=0
question=236/249 repeat=1/1 correct=yes latency=75.32s completion_tokens=8594 token_ps=114.09 progress=236/249 failures=0
question=237/249 repeat=1/1 correct=yes latency=6.82s completion_tokens=761 token_ps=111.65 progress=237/249 failures=0
question=238/249 repeat=1/1 correct=no latency=19.58s completion_tokens=2230 token_ps=113.90 progress=238/249 failures=0
question=239/249 repeat=1/1 correct=no latency=256.01s completion_tokens=29125 token_ps=113.77 progress=239/249 failures=0
question=240/249 repeat=1/1 correct=no latency=205.16s completion_tokens=23402 token_ps=114.06 progress=240/249 failures=0
question=241/249 repeat=1/1 correct=yes latency=16.55s completion_tokens=1886 token_ps=113.97 progress=241/249 failures=0
question=242/249 repeat=1/1 correct=no latency=219.77s completion_tokens=25060 token_ps=114.03 progress=242/249 failures=0
question=243/249 repeat=1/1 correct=yes latency=234.93s completion_tokens=26782 token_ps=114.00 progress=243/249 failures=0
question=244/249 repeat=1/1 correct=yes latency=16.12s completion_tokens=1836 token_ps=113.91 progress=244/249 failures=0
