[full] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=101 resumed=0 pending=101 workers=1 run=f2a51cb2817eb101
question=86/101 repeat=1/1 correct=yes latency=44.41s completion_tokens=5056 token_ps=113.84 progress=86/101 failures=0
question=87/101 repeat=1/1 correct=yes latency=23.25s completion_tokens=2644 token_ps=113.73 progress=87/101 failures=0
question=88/101 repeat=1/1 correct=yes latency=27.45s completion_tokens=3122 token_ps=113.72 progress=88/101 failures=0
question=89/101 repeat=1/1 correct=yes latency=43.38s completion_tokens=4877 token_ps=112.42 progress=89/101 failures=0
question=90/101 repeat=1/1 correct=yes latency=2.12s completion_tokens=215 token_ps=101.38 progress=90/101 failures=0
question=91/101 repeat=1/1 correct=yes latency=9.59s completion_tokens=1077 token_ps=112.34 progress=91/101 failures=0
question=92/101 repeat=1/1 correct=yes latency=47.80s completion_tokens=5443 token_ps=113.87 progress=92/101 failures=0
question=93/101 repeat=1/1 correct=yes latency=1.36s completion_tokens=128 token_ps=94.44 progress=93/101 failures=0
question=94/101 repeat=1/1 correct=yes latency=12.44s completion_tokens=1409 token_ps=113.27 progress=94/101 failures=0
question=95/101 repeat=1/1 correct=yes latency=11.70s completion_tokens=1317 token_ps=112.58 progress=95/101 failures=0
question=96/101 repeat=1/1 correct=no latency=8.62s completion_tokens=968 token_ps=112.36 progress=96/101 failures=0
question=97/101 repeat=1/1 correct=yes latency=21.37s completion_tokens=2399 token_ps=112.25 progress=97/101 failures=0
question=98/101 repeat=1/1 correct=yes latency=30.93s completion_tokens=3520 token_ps=113.82 progress=98/101 failures=0
question=99/101 repeat=1/1 correct=yes latency=14.41s completion_tokens=1625 token_ps=112.78 progress=99/101 failures=0
question=100/101 repeat=1/1 correct=yes latency=16.07s completion_tokens=1808 token_ps=112.52 progress=100/101 failures=0
question=101/101 repeat=1/1 correct=no latency=218.53s completion_tokens=24901 token_ps=113.95 progress=101/101 failures=0
kuvecodebench: 90.1% (91 / 101 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/full/evaluation/kuvecodebench.jsonl
